0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_Friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_admin/AdminService.js HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_chat/ChatService.js HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/images/gs.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/images/isOnline.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/images/isOffline.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/images/black.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationControllers/myFriends HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationControllers/viewPendingRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationControllers/viewSentRequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/views/home.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/images/home.jpg HTTP/1.1" 304 -
